time,x,y,z,vx,vy,vz,roll,pitch,yaw
0.71,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.7125,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.715,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.7175,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.72,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.7225,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.725,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.7275,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.73,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.7325,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.735,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.7375,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.74,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.7425,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.745,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.7475,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.75,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.7525,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.755,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.7575,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.76,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.7625,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.765,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.7675,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.77,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.7725,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.775,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.7775,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.78,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.7825,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.785,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.7875,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.79,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.7925,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
