time,px,py,pz,vx,vy,vz,roll,pitch,yaw,ba_x,ba_y,ba_z,bg_x,bg_y,bg_z,innov_norm,maha_dist
0.4125,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.415,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.4175,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.42,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.4225,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.425,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.4275,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.43,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.4325,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.435,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.4375,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.44,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.4425,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.445,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.4475,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.45,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.4525,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.455,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.4575,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.46,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.4625,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.465,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.4675,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.47,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.4725,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.475,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.4775,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.48,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.4825,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.485,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.4875,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.49,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.4925,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.495,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.4975,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.5,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.5025,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.505,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.5075,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.51,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.5125,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.515,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.5175,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.52,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.5225,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.525,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.5275,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.53,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.5325,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.535,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.5375,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.54,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.5425,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.545,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
0.5475,0,0,0,0,0,0,-0.0248582400381565,-0.00111087434925139,-0.272196263074875,0,0,0,0,0,0,0,0
